a=935000000,b=945000000,d=GSM900 Orange FR
a=1808000000,b=1832000000,d=GSM1800 Orange FR
a=950000000,b=960000000,d=GSM900 SFR FR
a=1832000000,b=1853000000,d=GSM1800 SFR FR
a=925000000,b=935000000,d=GSM900 Bouygues FR
a=1858000000,b=1880000000,d=GSM1800 Bouygues FR
a=945000000,b=950000000,d=GSM Free FR
a=921000000,b=925000000,d=GSM-R FR
a=1880000000,b=1900000000,d=DECT
a=162930000,b=162970000,d=PMV AFSK
a=433050000,b=434790000,d=ISM 433
a=868000000,b=868200000,d=ISM 868
a=1574920000,b=1575920000,d=GPS L1
a=1226600000,b=1228600000,d=GPS L2
a=1175450000,b=1177450000,d=GPS L5
a=900000000,b=920000000,d=2G GSM900 Vodafone ALB
a=800000000,b=810000000,d=4G GSM800 Telekom ALB
a=700000000,b=742000000,d=5G GSM700 Vodafone ALB
a=880000000,b=915000000,d=2G GSM900 A1 AUT
a=925000000,b=960000000,d=2G GSM900 A1 AUT
a=1710000000,b=1785000000,d=4G GSM1700 Magenta AUT
a=1805000000,b=1880000000,d=4G GSM1800 Drei AUT
a=703000000,b=733000000,d=5G GSM700 A1 AUT
a=3500000000,b=3800000000,d=5G GSM3500 Drei AUT
a=880000000,b=915000000,d=2G GSM900 Proximus BEL
a=925000000,b=960000000,d=2G GSM900 Proximus BEL
a=880000000,b=915000000,d=2G GSM900 Orange BEL
a=925000000,b=960000000,d=2G GSM900 Orange BEL
a=880000000,b=915000000,d=2G GSM900 Base/Telenet BEL
a=925000000,b=960000000,d=2G GSM900 Base/Telenet BEL
a=1710000000,b=1785000000,d=3G GSM1700 Proximus BEL
a=1710000000,b=1785000000,d=3G GSM1700 Orange BEL
a=1710000000,b=1785000000,d=3G GSM1700 Base/Telenet BEL
a=800000000,b=810000000,d=4G GSM800 Proximus BEL
a=880000000,b=915000000,d=4G GSM900 Proximus BEL
a=1800000000,b=1880000000,d=4G GSM1800 Proximus BEL
a=2100000000,b=2170000000,d=4G GSM2100 Proximus BEL
a=2600000000,b=2660000000,d=4G GSM2600 Proximus BEL
a=800000000,b=810000000,d=4G GSM800 Orange BEL
a=900000000,b=915000000,d=4G GSM900 Orange BEL
a=1800000000,b=1880000000,d=4G GSM1800 Orange BEL
a=2600000000,b=2660000000,d=4G GSM2600 Orange BEL
a=800000000,b=810000000,d=4G GSM800 Base/Telenet BEL
a=1800000000,b=1880000000,d=4G GSM1800 Base/Telenet BEL
a=1920000000,b=2170000000,d=5G GSM1900 Proximus BEL
a=3300000000,b=3800000000,d=5G GSM3800 Proximus BEL
a=1920000000,b=2170000000,d=5G GSM1900 Base/Telenet BEL
a=700000000,b=748000000,d=5G GSM700 Orange BEL
a=3300000000,b=3800000000,d=5G GSM3300 Orange BEL
a=700000000,b=748000000,d=5G GSM700 Citymesh/Telenet BEL
a=3300000000,b=3800000000,d=5G GSM3300 Citymesh/Telenet BEL
a=1400000000,b=1540000000,d=5G GSM1400 Proximus/Orange/Telenet BEL
a=880000000,b=915000000,d=2G GSM 900 BH Telecom BIH
a=900000000,b=920000000,d=3G GSM900 BH Telecom BIH
a=1800000000,b=1880000000,d=4G GSM1800 BH Telecom BIH
a=900000000,b=920000000,d=2G GSM900 A1 BGR
a=800000000,b=810000000,d=4G GSM900 A1 BGR
a=3500000000,b=3800000000,d=5G GSM3500 A1 BGR
a=880000000,b=915000000,d=2G GSM900 MTS BLR
a=925000000,b=960000000,d=2G GSM900 A1 BLR
a=1710000000,b=1785000000,d=4G GSM1700 A1 BLR
a=1805000000,b=1880000000,d=4G GSM1800 life:) BLR
a=880000000,b=915000000,d=2G GSM900 Swisscom CHE
a=925000000,b=960000000,d=2G GSM900 Swisscom CHE
a=1710000000,b=1785000000,d=4G GSM1700 Swisscom CHE
a=1805000000,b=1880000000,d=4G GSM1800 Sunrise CHE
a=703000000,b=733000000,d=5G GSM700 Swisscom CHE
a=3500000000,b=3800000000,d=5G GSM3500 Salt CHE
a=1800000000,b=1880000000,d=4G GSM1800 Hrvatski Telekom CRO
a=703000000,b=733000000,d=5G GSM700 Hrvatski Telekom CRO
a=700000000,b=742000000,d=5G GSM700 Telemach CRO
a=3500000000,b=3800000000,d=5G GSM3500 Telemach CRO
a=703000000,b=733000000,d=5G GSM700 A1 HR CRO
a=880000000,b=915000000,d=2G GSM900 Cyta CYP
a=925000000,b=960000000,d=2G GSM900 Epic CYP
a=1710000000,b=1785000000,d=4G GSM1700 Cyta CYP
a=1805000000,b=1880000000,d=4G GSM1800 Epic CYP
a=703000000,b=733000000,d=5G GSM700 Cyta CYP
a=3500000000,b=3800000000,d=5G GSM3500 Epic CYP
a=880000000,b=915000000,d=2G GSM900 T-Mobile CZE
a=925000000,b=960000000,d=2G GSM900 O2 CZE
a=1710000000,b=1785000000,d=4G GSM1700 Vodafone CZE
a=703000000,b=733000000,d=5G GSM700 T-Mobile CZE
a=3500000000,b=3800000000,d=5G GSM3500 O2 CZE
a=880000000,b=915000000,d=2G GSM900 Telekom DEU
a=925000000,b=960000000,d=2G GSM900 Telekom DEU
a=880000000,b=915000000,d=2G GSM900 Vodafone DEU
a=925000000,b=960000000,d=2G GSM900 Vodafone DEU
a=880000000,b=915000000,d=2G GSM900 O2 DEU
a=925000000,b=960000000,d=2G GSM900 O2 DEU
a=1710000000,b=1785000000,d=4G GSM1700 Telekom DEU
a=1805000000,b=1880000000,d=4G GSM1800 Vodafone DEU
a=800000000,b=810000000,d=4G GSM800 O2 DEU
a=703000000,b=733000000,d=5G GSM 700 Telekom DEU
a=3500000000,b=3800000000,d=5G GSM3500 Vodafone DEU
a=880000000,b=915000000,d=2G GSM900 TDC DNK
a=925000000,b=960000000,d=2G GSM900 TDC DNK
a=1710000000,b=1785000000,d=4G GSM1700 Telenor DNK
a=1805000000,b=1880000000,d=4G GSM1800 3 DK DNK
a=703000000,b=733000000,d=5G GSM700 TDC DNK
a=3500000000,b=3800000000,d=5G GSM3500 3 DK DNK
a=880000000,b=915000000,d=2G GSM900 Movistar ESP
a=925000000,b=960000000,d=2G GSM900 Orange ESP
a=1710000000,b=1785000000,d=4G GSM1700 Yoigo ESP
a=703000000,b=733000000,d=5G GSM700 Movistar ESP
a=3500000000,b=3800000000,d=5G GSM3500 Orange ESP
a=900000000,b=920000000,d=2G GSM900 Telia EST
a=800000000,b=810000000,d=4G GSM800 Telia EST
a=700000000,b=742000000,d=5G GSM700 Telia EST
a=880000000,b=915000000,d=2G GSM900 Orange FRA
a=925000000,b=960000000,d=2G GSM900 Orange FRA
a=880000000,b=915000000,d=2G GSM900 SFR FRA
a=925000000,b=960000000,d=2G GSM900 SFR FRA
a=880000000,b=915000000,d=2G GSM900 Bouygues FRA
a=925000000,b=960000000,d=2G GSM900 Bouygues FRA
a=900000000,b=920000000,d=2G GSM900 Free Mobile FRA
a=703000000,b=713000000,d=4G GSM700 Free Mobile FRA
a=800000000,b=810000000,d=4G GSM800 Free Mobile FRA
a=1800000000,b=1815000000,d=4G GSM1800 Free Mobile FRA
a=2100000000,b=2114800000,d=4G GSM2100 Free Mobile FRA
a=2600000000,b=2610000000,d=4G GSM2600 Free Mobile FRA
a=700000000,b=713000000,d=5 GSM700 Free Mobile FRA
a=3500000000,b=3800000000,d=5G GSM3500 Free Mobile FRA
a=880000000,b=915000000,d=2G GSM900 Faroese Telecom FRO
a=1805000000,b=1880000000,d=4G GSM1800 Faroese Telecom FRO
a=703000000,b=733000000,d=5G GSM700 Faroese Telecom FRO
a=880000000,b=915000000,d=2G GSM900 Cosmote GRC
a=925000000,b=960000000,d=2G GSM900 Vodafone GRC
a=1710000000,b=1785000000,d=4G GSM1700 Wind GRC
a=703000000,b=733000000,d=5G GSM700 Cosmote GRC
a=3500000000,b=3800000000,d=5G GSM3500 Vodafone GRC
a=880000000,b=915000000,d=2G GSM900 Tele Greenland GRL
a=1805000000,b=1880000000,d=4G GSM1800 Tele Greenland GRL
a=880000000,b=915000000,d=2G GSM900 Siminn ISL
a=1710000000,b=1785000000,d=4G GSM1700 Siminn ISL
a=703000000,b=733000000,d=5G GSM700 Siminn ISL
a=3500000000,b=3800000000,d=5G GSM3500 Nova ISL
a=880000000,b=915000000,d=2G GSM900 TIM ITA
a=925000000,b=960000000,d=2G GSM900 TIM ITA
a=1710000000,b=1785000000,d=4G GSM1700 Vodafone ITA
a=1805000000,b=1880000000,d=4G GSM1800 Iliad ITA
a=703000000,b=733000000,d=5G GSM700 TIM ITA
a=3500000000,b=3800000000,d=5G GSM3500 WindTre ITA
a=900000000,b=920000000,d=2G GSM900 Vala KOS
a=1800000000,b=1880000000,d=4G GSM1800 Vala KOS
a=900000000,b=920000000,d=2G GSM900 LMT LAT
a=800000000,b=810000000,d=4G GSM800 LMT LAT
a=3500000000,b=3800000000,d=5G GSM3500 Tele2 LAT
a=900000000,b=920000000,d=2G GSM900 Telia LTU
a=700000000,b=742000000,d=5G GSM700 Telia LTU
a=3500000000,b=3800000000,d=5G GSM3500 Bitė LTU
a=900000000,b=920000000,d=2G GSM900 Orange MDA
a=1805000000,b=1880000000,d=4G GSM1800 Orange MDA
a=1710000000,b=1785000000,d=4G GSM1700 Moldcell MDA
a=703000000,b=733000000,d=5G GSM700 Orange MDA
a=3500000000,b=3800000000,d=5G GSM3500 Moldcell MDA
a=900000000,b=920000000,d=2G GSM900 A1 MKD
a=3500000000,b=3800000000,d=5G GSM3500 A1 MKD
a=880000000,b=915000000,d=2G GSM900 GO MLT
a=925000000,b=960000000,d=2G GSM900 Epic MLT
a=1710000000,b=1785000000,d=4G GSM1700 GO MLT
a=1805000000,b=1880000000,d=4G GSM1800 Epic MLT
a=703000000,b=733000000,d=5G GSM700 GO MLT
a=3500000000,b=3800000000,d=5G GSM3500 Epic MLT
a=880000000,b=915000000,d=2G GSM900 One MNE
a=1800000000,b=1880000000,d=4G GSM 1800 Crnogorski Telekom MNE
a=3500000000,b=3800000000,d=5G GSM3500 Crnogorski Telekom MNE
a=900000000,b=915000000,d=2G GSM900 Monaco Telecom MCO
a=1805000000,b=1880000000,d=4G GSM1800 Monaco Telecom MCO
a=3500000000,b=3800000000,d=5G GSM3500 Monaco Telecom MCO
a=890000000,b=915000000,d=2G GSM900 Telenor NOR
a=1710000000,b=1785000000,d=4G GSM1700 Telenor NOR
a=1805000000,b=1880000000,d=4G GSM1800 Telenor NOR
a=800000000,b=810000000,d=4G GSM800 Telenor NOR
a=703000000,b=733000000,d=5G GSM700 Telenor NOR
a=3500000000,b=3800000000,d=5G GSM3500 Telenor NOR
a=703000000,b=733000000,d=5G GSM700 Telia NOR
a=3500000000,b=3800000000,d=5G GSM3500 Telia NOR
a=700000000,b=742000000,d=5GGSM700 Ice NOR
a=880000000,b=915000000,d=2G GSM900 KPN NLD
a=925000000,b=960000000,d=2G GSM900 KPN NLD
a=1710200000,b=1784800000,d=4G GSM1700 KPN NLD
a=1805200000,b=1879800000,d=4G GSM1800 KPN NLD
a=700000000,b=746000000,d=5G GSM700 T-Mobile NLD
a=700000000,b=746000000,d=5G GSM700 Vodafone NLD
a=880000000,b=915000000,d=2G, 260-01 Plus POL
a=925000000,b=960000000,d=2G GSM900 Plus POL
a=1710000000,b=1785000000,d=4G GSM1700 T-Mobile POL
a=1805000000,b=1880000000,d=4G GSM1800 Orange POL
a=703000000,b=733000000,d=5G GSM700 Plus POL
a=3500000000,b=3800000000,d=5G GSM3500 Orange POL
a=900000000,b=920000000,d=2G GSM900 Orange ROU
a=800000000,b=810000000,d=4G GSM800 Orange ROU
a=2600000000,b=2660000000,d=5G GSM2600 Orange ROU
a=880000000,b=915000000,d=2G GSM900 MTS RUS
a=925000000,b=960000000,d=2G GSM900 MegaFon RUS
a=1710000000,b=1785000000,d=4 GSM1700 Tele2 RUS
a=703000000,b=733000000,d=5G GSM700 Beeline RUS
a=3500000000,b=3800000000,d=5G GSM3500 MTS RUS
a=880000000,b=915000000,d=2G GSM900 A1 SLO
a=1710000000,b=1785000000,d=4G GSM1700 A1 SLO
a=703000000,b=733000000,d=5G GSM700 A1 SLO
a=880000000,b=915000000,d=2G GSM900 Telekom SLO
a=703000000,b=733000000,d=5G GSM700 Telekom SLO
a=3500000000,b=3800000000,d=5G GSM3500 Telekom SLO
a=703000000,b=733000000,d=5G GSM700 Telemach SLO
a=880000000,b=915000000,d=2G GSM900 Telemach SLO
a=880000000,b=915000000,d=2 GSM900 A1 SRB
a=800000000,b=810000000,d=4 GSM800 A1 SRB
a=880000000,b=915000000,d=2G GSM900 Slovak Telekom SVK
a=925000000,b=960000000,d=2G GSM900 O2 SVK
a=1710000000,b=1785000000,d=4G GSM1700 Orange SVK
a=703000000,b=733000000,d=5G GSM700 Slovak Telekom SVK
a=3500000000,b=3800000000,d=5G GSM3500 O2 SVK
a=890000000,b=915000000,d=2G GSM900 Telia SWE
a=1710000000,b=1785000000,d=2G GSM1700 Telia SWE
a=890000000,b=915000000,d=2G GSM900 Telenor SWE
a=1710000000,b=1785000000,d=2G GSM1700 Telenor SWE
a=890000000,b=915000000,d=2G GSM900 Tre SWE
a=1710000000,b=1785000000,d=2G GSM1700 Tre SWE
a=1800000000,b=1880000000,d=4G GSM1800 Telia SWE
a=800000000,b=810000000,d=4G GSM800 Telia SWE
a=703000000,b=733000000,d=4G GSM700 Telia SWE
a=700000000,b=742000000,d=5G GSM700 Telia SWE
a=3500000000,b=3800000000,d=5G GSM3500 Telia SWE
a=3500000000,b=3800000000,d=5G GSM3500 Telenor SWE
a=2100000000,b=2170000000,d=5G GSM2100 Tre SWE
a=2600000000,b=2660000000,d=5G GSM2600 Tre SWE
a=3500000000,b=3800000000,d=5G GSM3500 Tre SWE
a=880000000,b=915000000,d=2G GSM900 Kyivstar UKR
a=925000000,b=960000000,d=2G GSM900 Vodafone UKR
a=1710000000,b=1785000000,d=4G GSM1700 Vodafone UKR
a=1805000000,b=1880000000,d=4G GSM1800 lifecell UKR
a=3500000000,b=3800000000,d=5G GSM3500 Kyivstar UKR












